Ticker,Date,Open,High,Low,Close,Volume,Adj_Close,Change,Gain,Loss,AvgGain,AvgLoss,RS,RSI,EMA12,EMA26,MACD,Signal,Histogram
SJW,2016-09-30,43.919998,44.189999,43.419998,43.68,53000,43.497964,0,0,0,0,0,0,0,0,0,0,0,0
SJW,2016-09-29,44.040001,44.099998,43.549999,43.709999,35500,43.527838,0,0,0,0,0,0,0,0,0,0,0,0
SJW,2016-09-28,44.240002,44.790001,44.060001,44.23,56000,44.045671,0,0,0,0,0,0,0,0,0,0,0,0
SJW,2016-09-27,44.959999,44.98,44.130001,44.330002,51900,44.145257,0,0,0,0,0,0,0,0,0,0,0,0
SJW,2016-09-26,44.889999,45.43,44.639999,44.77,55100,44.583422,0,0,0,0,0,0,0,0,0,0,0,0
SJW,2016-09-23,46.369999,46.650002,44.849998,45.16,70000,44.971796,0,0,0,0,0,0,0,0,0,0,0,0
SJW,2016-09-22,44.82,46.73,44.66,46.66,107800,46.465544,0,0,0,0,0,0,0,0,0,0,0,0
SJW,2016-09-21,43.959999,45.00,43.759998,44.939999,61400,44.752711,0,0,0,0,0,0,0,0,0,0,0,0
SJW,2016-09-20,43.970001,44.07,43.189999,43.650002,104200,43.46809,0,0,0,0,0,0,0,0,0,0,0,0
SJW,2016-09-19,42.73,43.73,42.52,43.630001,52100,43.448173,0,0,0,0,0,0,0,0,0,0,0,0
SJW,2016-09-16,41.869999,42.52,41.59,42.459999,233400,42.283047,0,0,0,0,0,0,0,0,0,0,0,0
SJW,2016-09-15,41.27,42.18,41.18,42.009998,55300,41.834922,0,0,0,0,0,0,0,0,0,0,0,0
SJW,2016-09-14,41.09,41.709999,41.029999,41.470001,69300,41.297175,0,0,0,0,0,0,0,0,0,0,0,0
SJW,2016-09-13,42.040001,42.139999,41.040001,41.119999,75500,40.948631,0,0,0,0,0,0,0,0,0,0,0,0
SJW,2016-09-12,42.25,42.889999,42.040001,42.450001,75300,42.273091,0,0,0,0,0,0,0,0,0,0,0,0
SJW,2016-09-09,44.849998,44.919998,42.310001,42.330002,90800,42.153592,0,0,0,0,0,0,0,0,0,0,0,0
SJW,2016-09-08,44.98,45.509998,44.34,45.150002,128000,44.961839,0,0,0,0,0,0,0,0,0,0,0,0
SJW,2016-09-07,43.529999,45.040001,43.200001,45.029999,138600,44.842336,0,0,0,0,0,0,0,0,0,0,0,0
SJW,2016-09-06,43.150002,43.66,42.959999,43.490002,91200,43.308757,0,0,0,0,0,0,0,0,0,0,0,0
SJW,2016-09-02,42.34,43.150002,42.34,42.98,38800,42.800881,0,0,0,0,0,0,0,0,0,0,0,0
SJW,2016-09-01,42.650002,42.700001,41.950001,42.259998,52400,42.08388,0,0,0,0,0,0,0,0,0,0,0,0
SJW,2016-08-31,43.049999,43.119999,42.57,42.689999,53000,42.512088,0,0,0,0,0,0,0,0,0,0,0,0
SJW,2016-08-30,44.099998,44.18,42.889999,43.040001,71800,42.860632,0,0,0,0,0,0,0,0,0,0,0,0
SJW,2016-08-29,44.919998,45.48,43.939999,44.099998,88000,43.916212,0,0,0,0,0,0,0,0,0,0,0,0
SJW,2016-08-26,43.970001,45.130001,43.240002,45.00,199400,44.812463,0,0,0,0,0,0,0,0,0,0,0,0
SJW,2016-08-25,43.049999,44.080002,43.049999,44.080002,117400,43.896299,0,0,0,0,0,0,0,0,0,0,0,0
SJW,2016-08-24,42.619999,43.240002,42.330002,43.23,124500,43.049839,0,0,0,0,0,0,0,0,0,0,0,0
SJW,2016-08-23,42.779999,42.860001,42.48,42.830002,105400,42.651508,0,0,0,0,0,0,0,0,0,0,0,0
SJW,2016-08-22,41.919998,42.73,41.73,42.709999,124800,42.532005,0,0,0,0,0,0,0,0,0,0,0,0
SJW,2016-08-19,41.200001,41.970001,40.849998,41.759998,140200,41.585964,0,0,0,0,0,0,0,0,0,0,0,0
SJW,2016-08-18,39.700001,41.34,39.689999,41.310001,102500,41.137842,0,0,0,0,0,0,0,0,0,0,0,0
SJW,2016-08-17,38.849998,39.610001,38.360001,39.439999,44100,39.275633,0,0,0,0,0,0,0,0,0,0,0,0
SJW,2016-08-16,39.50,39.50,38.849998,38.990002,34600,38.827511,0,0,0,0,0,0,0,0,0,0,0,0
SJW,2016-08-15,40.619999,40.619999,39.610001,39.75,51300,39.584342,0,0,0,0,0,0,0,0,0,0,0,0
SJW,2016-08-12,39.959999,40.540001,39.959999,40.360001,39000,40.1918,0,0,0,0,0,0,0,0,0,0,0,0
SJW,2016-08-11,39.959999,40.02,39.59,39.889999,32900,39.723758,0,0,0,0,0,0,0,0,0,0,0,0
SJW,2016-08-10,39.880001,40.200001,39.41,39.93,42700,39.763592,0,0,0,0,0,0,0,0,0,0,0,0
SJW,2016-08-09,39.66,39.98,39.040001,39.889999,54100,39.723758,0,0,0,0,0,0,0,0,0,0,0,0
SJW,2016-08-08,39.799999,40.060001,39.310001,39.52,30700,39.355301,0,0,0,0,0,0,0,0,0,0,0,0
SJW,2016-08-05,39.830002,40.18,39.549999,39.91,44900,39.743675,0,0,0,0,0,0,0,0,0,0,0,0
SJW,2016-08-04,40.18,40.41,39.799999,39.799999,33700,39.634133,0,0,0,0,0,0,0,0,0,0,0,0
SJW,2016-08-03,40.959999,40.959999,40.139999,40.299999,41900,39.929894,0,0,0,0,0,0,0,0,0,0,0,0
SJW,2016-08-02,41.580002,41.740002,41.040001,41.07,61600,40.692822,0,0,0,0,0,0,0,0,0,0,0,0
SJW,2016-08-01,42.060001,42.060001,41.540001,41.610001,80400,41.227864,0,0,0,0,0,0,0,0,0,0,0,0
SJW,2016-07-29,42.400002,42.939999,42.330002,42.360001,72800,41.970976,0,0,0,0,0,0,0,0,0,0,0,0
SJW,2016-07-28,41.360001,42.50,41.00,42.400002,80600,42.01061,0,0,0,0,0,0,0,0,0,0,0,0
SJW,2016-07-27,41.099998,41.099998,40.41,40.950001,64500,40.573926,0,0,0,0,0,0,0,0,0,0,0,0
SJW,2016-07-26,41.419998,41.419998,40.790001,41.169998,108900,40.791903,0,0,0,0,0,0,0,0,0,0,0,0
SJW,2016-07-25,40.700001,41.240002,40.52,41.209999,96000,40.831536,0,0,0,0,0,0,0,0,0,0,0,0
SJW,2016-07-22,39.75,41.330002,39.57,40.91,129800,40.534292,0,0,0,0,0,0,0,0,0,0,0,0
SJW,2016-07-21,39.389999,39.720001,39.310001,39.610001,49800,39.246232,0,0,0,0,0,0,0,0,0,0,0,0
SJW,2016-07-20,39.150002,39.470001,38.93,39.450001,44000,39.087701,0,0,0,0,0,0,0,0,0,0,0,0
SJW,2016-07-19,38.990002,39.209999,38.77,38.98,45400,38.622016,0,0,0,0,0,0,0,0,0,0,0,0
SJW,2016-07-18,39.369999,39.419998,38.720001,38.990002,48500,38.631927,0,0,0,0,0,0,0,0,0,0,0,0
