No.,Ticker,Company,Sector,Industry,Country,Market Cap,P/E,Price,Change,Volume,No2,Ticker2,Beta,Average True Range,20-Day Simple Moving Average,50-Day Simple Moving Average,200-Day Simple Moving Average,52-Week High,52-Week Low,Relative Strength Index (14),Price,Change,Change from Open,Gap,Volume
26,BHI,Baker Hughes Incorporated,Basic Materials,Oil & Gas Equipment & Services,USA,24587.22,,56.68,0.71%,1665250,26,BHI,0.8,1.13,-5.67%,-8.02%,4.39%,-17.14%,50.51%,28.12,56.68,0.71%,0.34%,0.37%,1665250
27,RRC,Range Resources Corporation,Basic Materials,Independent Oil & Gas,USA,7018.6,,28.08,2.00%,5311837,27,RRC,1.03,1.08,-4.53%,-12.24%,-24.87%,-40.14%,5.17%,38.62,28.08,2.00%,1.70%,0.29%,5311837
28,XEC,Cimarex Energy Co.,Basic Materials,Independent Oil & Gas,USA,11632.11,,120.59,1.14%,751401,28,XEC,1.53,3.14,-5.51%,-9.39%,-6.23%,-17.89%,32.36%,33.17,120.59,1.14%,1.41%,-0.27%,751401
29,HK,Halcon Resources Corporation,Basic Materials,Oil & Gas Drilling & Exploration,USA,673.16,,7.39,0.54%,990655,29,HK,3.5,0.41,-12.57%,-16.40%,26.84%,-38.47%,3259.09%,32.53,7.39,0.54%,1.37%,-0.82%,990655
30,EQT,EQT Corporation,Basic Materials,Independent Oil & Gas,USA,10095.94,,57.81,1.28%,2590441,30,EQT,0.88,1.77,-4.84%,-7.36%,-16.37%,-28.19%,2.39%,38.34,57.81,1.28%,0.31%,0.96%,2590441
31,MUR,Murphy Oil Corporation,Basic Materials,Independent Oil & Gas,USA,4565.09,,26.4,-0.64%,3451532,31,MUR,2.13,0.93,-5.73%,-10.12%,-9.28%,-26.77%,21.17%,37.32,26.4,-0.64%,-0.41%,-0.23%,3451532
32,BRS,Bristow Group Inc.,Basic Materials,Oil & Gas Equipment & Services,USA,494.84,,14.1,0.79%,485530,32,BRS,2.83,0.88,-12.27%,-20.98%,-2.24%,-39.13%,56.12%,29.22,14.1,0.79%,0.64%,0.14%,485530
33,INT,World Fuel Services Corporation,Basic Materials,Oil & Gas Refining & Marketing,USA,2528.69,20.2,36.6,0.27%,468686,33,INT,1.06,0.85,-4.19%,-13.49%,-17.80%,-27.97%,2.61%,26.93,36.6,0.27%,0.03%,0.25%,468686
34,APA,Apache Corporation,Basic Materials,Independent Oil & Gas,USA,19196.73,,50.16,-0.14%,4053343,34,APA,1.16,1.43,-6.22%,-13.81%,-13.25%,-27.02%,10.56%,26.81,50.16,-0.14%,-0.12%,-0.02%,4053343
35,SWN,Southwestern Energy Company,Basic Materials,Independent Oil & Gas,USA,3794.6,,7.6,2.15%,9008336,35,SWN,1.28,0.37,-6.16%,-16.19%,-36.20%,-51.25%,9.04%,35.92,7.6,2.15%,1.47%,0.67%,9008336
36,NBL,"Noble Energy, Inc.",Basic Materials,Independent Oil & Gas,USA,14900.28,,34.05,-0.06%,5425237,36,NBL,1.15,0.96,-7.29%,-10.45%,-6.55%,-18.78%,19.46%,32.15,34.05,-0.06%,-0.06%,0.00%,5425237
37,GPOR,Gulfport Energy Corporation,Basic Materials,Independent Oil & Gas,USA,2666.04,,16.55,-1.66%,5969333,37,GPOR,1.2,0.63,-10.35%,-17.63%,-36.47%,-52.26%,-0.12%,25.54,16.55,-1.66%,-1.66%,0.00%,5969333
38,PDCE,"PDC Energy, Inc.",Basic Materials,Independent Oil & Gas,USA,4252.63,,64.21,0.86%,946511,38,PDCE,1.1,2.14,-7.46%,-11.46%,-1.88%,-24.35%,28.11%,34.7,64.21,0.86%,1.25%,-0.38%,946511
39,UNT,Unit Corporation,Basic Materials,Oil & Gas Drilling & Exploration,USA,1149.73,,22.26,0.50%,370411,39,UNT,2.5,1.38,-14.15%,-16.37%,11.14%,-27.33%,174.14%,33.07,22.26,0.50%,1.18%,-0.68%,370411
40,NFX,Newfield Exploration Company,Basic Materials,Independent Oil & Gas,USA,6918.22,,34.51,0.58%,3001391,40,NFX,1.52,1.24,-10.23%,-14.28%,-18.31%,-30.98%,11.90%,30.27,34.51,0.58%,0.55%,0.03%,3001391
41,SLCA,"U.S. Silica Holdings, Inc.",Basic Materials,Industrial Metals & Minerals,USA,3740.46,,46.5,-0.13%,1934299,41,SLCA,2.58,2.59,-13.64%,-16.87%,2.63%,-24.38%,139.32%,32.3,46.5,-0.13%,0.00%,-0.13%,1934299
42,NBR,Nabors Industries Ltd.,Basic Materials,Oil & Gas Drilling & Exploration,Bermuda,3766.73,,13.41,-0.22%,4263456,42,NBR,1.67,0.55,-9.54%,-16.04%,6.93%,-26.79%,79.63%,29.31,13.41,-0.22%,0.68%,-0.89%,4263456
43,GIII,"G-III Apparel Group, Ltd.",Consumer Goods,Textile - Apparel Clothing,USA,1147.68,14.05,23.95,-1.96%,317302,43,GIII,0.43,0.96,-6.92%,-9.91%,-28.35%,-57.15%,0.00%,36.4,23.95,-1.96%,-1.92%,-0.04%,317302
44,LTRPA,"Liberty TripAdvisor Holdings, Inc.",Consumer Goods,"Recreational Goods, Other",USA,1049.18,52.25,13.95,-0.36%,684351,44,LTRPA,,0.56,-5.82%,-14.29%,-28.69%,-43.38%,6.90%,35.92,13.95,-0.36%,-0.36%,0.00%,684351
45,TVPT,Travelport Worldwide Limited,Consumer Goods,"Recreational Goods, Other",United Kingdom,1525.47,91.11,12.3,1.57%,1613519,45,TVPT,,0.28,-5.09%,-10.25%,-9.18%,-17.90%,10.87%,33.82,12.3,1.57%,1.74%,-0.17%,1613519
46,LKQ,LKQ Corporation,Consumer Goods,Auto Parts,USA,9447.48,20.54,30.23,0.77%,2380892,46,LKQ,0.55,0.58,-4.25%,-3.96%,-8.37%,-16.84%,2.93%,38.34,30.23,0.77%,0.77%,0.00%,2380892
47,ICON,"Iconix Brand Group, Inc.",Consumer Goods,Textile - Apparel Footwear & Accessories,USA,404.68,,7.22,-2.70%,962411,47,ICON,1.44,0.35,-14.36%,-22.35%,-13.97%,-33.15%,15.34%,19.55,7.22,-2.70%,-3.09%,0.40%,962411
48,BETR,"Amplify Snack Brands, Inc.",Consumer Goods,Food - Major Diversified,USA,633.47,22.21,8.04,-4.06%,856969,48,BETR,,0.38,-18.32%,-19.39%,-37.84%,-54.14%,-2.55%,19.76,8.04,-4.06%,-4.06%,0.00%,856969
49,THO,"Thor Industries, Inc.",Consumer Goods,Recreational Vehicles,USA,5100.99,16.77,97.31,-2.26%,1619137,49,THO,1.3,3.1,-11.13%,-7.78%,12.85%,-15.92%,65.35%,30.87,97.31,-2.26%,-2.06%,-0.20%,1619137
50,PEI,Pennsylvania Real Estate Investment Trust,Financial,REIT - Retail,USA,1040.28,,14.76,1.30%,2455551,50,PEI,1.36,0.5,-10.43%,-15.17%,-27.34%,-40.62%,2.43%,26.9,14.76,1.30%,1.30%,0.00%,2455551
51,KRG,Kite Realty Group Trust,Financial,REIT - Retail,USA,1721.4,1449.29,20.29,1.30%,999774,51,KRG,0.64,0.49,-9.95%,-12.58%,-20.53%,-31.77%,1.91%,21.46,20.29,1.30%,-0.10%,1.40%,999774
52,KIM,Kimco Realty Corporation,Financial,REIT - Retail,USA,9278.38,37.61,21.85,0.97%,5561379,52,KIM,0.73,0.48,-8.18%,-11.13%,-19.79%,-30.87%,1.82%,24.09,21.85,0.97%,-0.59%,1.57%,5561379
53,FBP,First Bancorp,Financial,Foreign Regional Banks,USA,1324.56,13.85,5.97,0.51%,1146314,53,FBP,2.04,0.18,-6.98%,-9.44%,10.03%,-15.32%,136.90%,31.2,5.97,0.51%,1.02%,-0.51%,1146314
