No.,Ticker,Company,Sector,Industry,Country,Market Cap,P/E,Price,Change,Volume,Beta,Average True Range,20-Day Simple Moving Average,50-Day Simple Moving Average,200-Day Simple Moving Average,52-Week High,52-Week Low,Relative Strength Index (14),Price,Change,Change from Open,Gap,Volume
32,BRS,Bristow Group Inc.,Basic Materials,Oil & Gas Equipment & Services,USA,494.84,,14.1,0.79%,485530,2.83,0.88,-12.27%,-20.98%,-2.24%,-39.13%,56.12%,29.22,14.1,0.79%,0.64%,0.14%,485530
10,HAL,Halliburton Company,Basic Materials,Oil & Gas Equipment & Services,USA,44092.1,,50.88,-0.06%,6272390,1.06,1.13,-5.15%,-7.22%,6.01%,-13.14%,55.31%,31.83,50.88,-0.06%,-0.27%,0.22%,6272390
12,MDR,"McDermott International, Inc.",Basic Materials,Oil & Gas Equipment & Services,USA,1585.87,56.02,6.61,0.30%,2462479,1.46,0.28,-11.28%,-13.16%,10.84%,-20.65%,87.25%,31.14,6.61,0.30%,0.30%,0.00%,2462479
8,SLB,Schlumberger Limited,Basic Materials,Oil & Gas Equipment & Services,USA,109578.03,,78.59,-0.13%,6704553,1.11,1.25,-2.49%,-4.84%,-1.57%,-9.98%,12.93%,36.75,78.59,-0.13%,-0.30%,0.18%,6704553
25,QEP,"QEP Resources, Inc.",Basic Materials,Oil & Gas Pipelines,USA,3097.57,,12.92,0.08%,3793342,1.79,0.6,-14.39%,-23.23%,-28.15%,-38.83%,9.58%,22.06,12.92,0.08%,0.39%,-0.31%,3793342
33,INT,World Fuel Services Corporation,Basic Materials,Oil & Gas Refining & Marketing,USA,2528.69,20.2,36.6,0.27%,468686,1.06,0.85,-4.19%,-13.49%,-17.80%,-27.97%,2.61%,26.93,36.6,0.27%,0.03%,0.25%,468686
1,CDE,"Coeur Mining, Inc.",Basic Materials,Silver,USA,1356.92,23.57,7.73,2.25%,3126291,0.88,0.47,-9.30%,-22.80%,-30.57%,-52.89%,65.52%,32.46,7.73,2.25%,1.18%,1.06%,3126291
11,AKS,AK Steel Holding Corporation,Basic Materials,Steel & Iron,USA,2514.23,,7.89,2.73%,11728139,2.8,0.4,-5.54%,-11.80%,17.73%,-30.73%,138.37%,38.79,7.89,2.73%,1.28%,1.43%,11728139
46,LKQ,LKQ Corporation,Consumer Goods,Auto Parts,USA,9447.48,20.54,30.23,0.77%,2380892,0.55,0.58,-4.25%,-3.96%,-8.37%,-16.84%,2.93%,38.34,30.23,0.77%,0.77%,0.00%,2380892
48,BETR,"Amplify Snack Brands, Inc.",Consumer Goods,Food - Major Diversified,USA,633.47,22.21,8.04,-4.06%,856969,,0.38,-18.32%,-19.39%,-37.84%,-54.14%,-2.55%,19.76,8.04,-4.06%,-4.06%,0.00%,856969
44,LTRPA,"Liberty TripAdvisor Holdings, Inc.",Consumer Goods,"Recreational Goods, Other",USA,1049.18,52.25,13.95,-0.36%,684351,,0.56,-5.82%,-14.29%,-28.69%,-43.38%,6.90%,35.92,13.95,-0.36%,-0.36%,0.00%,684351
45,TVPT,Travelport Worldwide Limited,Consumer Goods,"Recreational Goods, Other",United Kingdom,1525.47,91.11,12.3,1.57%,1613519,,0.28,-5.09%,-10.25%,-9.18%,-17.90%,10.87%,33.82,12.3,1.57%,1.74%,-0.17%,1613519
49,THO,"Thor Industries, Inc.",Consumer Goods,Recreational Vehicles,USA,5100.99,16.77,97.31,-2.26%,1619137,1.3,3.1,-11.13%,-7.78%,12.85%,-15.92%,65.35%,30.87,97.31,-2.26%,-2.06%,-0.20%,1619137
43,GIII,"G-III Apparel Group, Ltd.",Consumer Goods,Textile - Apparel Clothing,USA,1147.68,14.05,23.95,-1.96%,317302,0.43,0.96,-6.92%,-9.91%,-28.35%,-57.15%,0.00%,36.4,23.95,-1.96%,-1.92%,-0.04%,317302
47,ICON,"Iconix Brand Group, Inc.",Consumer Goods,Textile - Apparel Footwear & Accessories,USA,404.68,,7.22,-2.70%,962411,1.44,0.35,-14.36%,-22.35%,-13.97%,-33.15%,15.34%,19.55,7.22,-2.70%,-3.09%,0.40%,962411
54,LC,LendingClub Corporation,Financial,Credit Services,USA,2128.56,,5.26,-0.94%,4240187,,0.24,-6.64%,-8.69%,-1.80%,-43.80%,52.91%,39.67,5.26,-0.94%,-2.05%,1.13%,4240187
64,NAVI,Navient Corporation,Financial,Credit Services,USA,4205.14,6.83,14.51,-0.07%,1511270,,0.35,-4.01%,-6.53%,0.86%,-17.55%,36.48%,30.25,14.51,-0.07%,-0.27%,0.21%,1511270
53,FBP,First Bancorp,Financial,Foreign Regional Banks,USA,1324.56,13.85,5.97,0.51%,1146314,2.04,0.18,-6.98%,-9.44%,10.03%,-15.32%,136.90%,31.2,5.97,0.51%,1.02%,-0.51%,1146314
61,MBI,MBIA Inc.,Financial,Property & Casualty Insurance,USA,1247.2,,9.32,0.54%,1150747,2.41,0.29,-8.26%,-11.75%,5.80%,-20.00%,47.00%,30.29,9.32,0.54%,0.87%,-0.32%,1150747
59,MHLD,"Maiden Holdings, Ltd.",Financial,Property & Casualty Insurance,Bermuda,1250.78,80,14.4,-1.37%,406547,1.16,0.51,-11.92%,-16.40%,-2.78%,-24.01%,23.71%,21.36,14.4,-1.37%,-1.37%,0.00%,406547
56,GPT,"Gramercy Property Trust, Inc.",Financial,REIT - Diversified,USA,3621.4,300.12,25.51,0.55%,811604,0.58,0.51,-6.23%,-2.16%,92.02%,-10.62%,246.97%,28.45,25.51,0.55%,0.71%,-0.16%,811604
60,SNR,New Senior Investment Group Inc.,Financial,REIT - Diversified,USA,797.63,,9.58,0.00%,736590,,0.21,-5.27%,-4.07%,-5.91%,-18.83%,14.85%,31.05,9.58,0.00%,0.63%,-0.63%,736590
66,SRC,"Spirit Realty Capital, Inc.",Financial,REIT - Diversified,USA,4922.97,105,10.08,-0.30%,4438676,0.6,0.22,-5.97%,-6.34%,-13.44%,-25.64%,0.20%,27.46,10.08,-0.30%,-0.30%,0.00%,4438676
58,AHT,"Ashford Hospitality Trust, Inc.",Financial,REIT - Hotel/Motel,USA,587.94,,6.07,-0.16%,572328,1.44,0.25,-13.04%,-18.50%,-4.52%,-26.25%,34.55%,25.42,6.07,-0.16%,0.00%,-0.16%,572328
63,CBL,"CBL & Associates Properties, Inc.",Financial,REIT - Retail,USA,1604.77,12.55,9.4,1.29%,2412509,1.23,0.32,-7.58%,-11.14%,-14.16%,-31.25%,12.76%,32.4,9.4,1.29%,1.18%,0.11%,2412509
65,GGP,GGP Inc.,Financial,REIT - Retail,USA,20601.78,17.45,23.28,1.00%,6479697,0.81,0.47,-5.75%,-6.45%,-14.02%,-27.48%,1.84%,32.11,23.28,1.00%,0.69%,0.30%,6479697
52,KIM,Kimco Realty Corporation,Financial,REIT - Retail,USA,9278.38,37.61,21.85,0.97%,5561379,0.73,0.48,-8.18%,-11.13%,-19.79%,-30.87%,1.82%,24.09,21.85,0.97%,-0.59%,1.57%,5561379
