"No.","Ticker","Company","Sector","Industry","Country","Market Cap","P/E","Price","Change","Volume","No.","Ticker","Beta","Average True Range","20-Day Simple Moving Average","50-Day Simple Moving Average","200-Day Simple Moving Average","52-Week High","52-Week Low","Relative Strength Index (14)","Price","Change","Change from Open","Gap","Volume"
35,"ICON","Iconix Brand Group, Inc.","Consumer Goods","Textile - Apparel Footwear & Accessories","USA",411.18,,7.22,-1.77%,1417200,35,"ICON",1.44,0.33,-9.40%,-20.99%,-13.92%,-33.15%,15.34%,23.28,7.22,-1.77%,-1.50%,-0.27%,1417200
36,"BETR","Amplify Snack Brands, Inc.","Consumer Goods","Food - Major Diversified","USA",642.40,24.47,8.37,2.20%,550600,36,"BETR",,0.35,-11.11%,-15.54%,-34.81%,-52.25%,6.49%,30.06,8.37,2.20%,1.82%,0.37%,550600
37,"PEI","Pennsylvania Real Estate Investment Trust","Financial","REIT - Retail","USA",1035.25,,14.90,-1.13%,1019000,37,"PEI",1.35,0.49,-6.57%,-12.86%,-26.24%,-40.05%,3.98%,33.67,14.90,-1.13%,-1.06%,-0.07%,1019000
38,"PHH","PHH Corporation","Financial","Credit Services","USA",673.22,,12.56,-0.71%,550000,38,"PHH",1.65,0.39,-0.45%,-9.05%,-12.77%,-25.24%,29.09%,38.45,12.56,-0.71%,-0.87%,0.16%,550000
39,"CDR","Cedar Realty Trust, Inc.","Financial","REIT - Retail","USA",451.02,,5.28,0.19%,1468500,39,"CDR",0.90,0.17,-4.84%,-11.03%,-21.26%,-33.14%,6.88%,35.66,5.28,0.19%,0.19%,0.00%,1468500
40,"MBI","MBIA Inc.","Financial","Property & Casualty Insurance","USA",1197.50,,8.91,-4.60%,3052000,40,"MBI",2.41,0.29,-10.05%,-14.62%,0.69%,-23.52%,40.54%,24.23,8.91,-4.60%,-4.60%,0.00%,3052000
41,"SPG","Simon Property Group, Inc.","Financial","REIT - Retail","USA",53737.84,28.62,168.02,-0.81%,2805800,41,"SPG",0.60,3.26,-5.52%,-6.62%,-13.11%,-24.70%,0.82%,31.36,168.02,-0.81%,-0.54%,-0.28%,2805800
42,"ALLY","Ally Financial Inc.","Financial","Mortgage Investment","USA",9835.60,9.44,21.15,-2.04%,13787291,42,"ALLY",,0.42,-5.67%,-1.47%,9.43%,-10.46%,42.52%,37.48,21.15,-2.04%,-2.08%,0.05%,13787291
43,"SYF","Synchrony Financial","Financial","Credit Services","USA",28474.94,12.97,35.12,-1.98%,10548000,43,"SYF",,0.65,-3.08%,-3.17%,13.40%,-7.38%,53.01%,38.17,35.12,-1.98%,-1.71%,-0.28%,10548000
44,"GGP","GGP Inc.","Financial","REIT - Retail","USA",20637.03,17.48,23.32,-0.64%,6414516,44,"GGP",0.80,0.47,-4.14%,-5.84%,-13.65%,-27.35%,2.01%,37.58,23.32,-0.64%,-0.85%,0.21%,6414516
